1001,AAPL,Buy,2.996389,208.830909,4.076531,4Trade
1001,AAPL,Buy,2.996389,208.830909,4.076531,4Trade
1002,GOOG,Buy,2.72399,130.415,2.764955,4Trade
1004,MSFT,Buy,2.996389,137.950909,3.140923,4Trade
1005,AMZN,Buy,3.268787,112.569167,3.060968,4Trade
1016,DIS,Buy,1.906793,-4.052857,0.805949,4Trade
1250,KER.PA,Buy,1.089596,-45.5325,0.261442,4Trade
1118,BRK.B,Buy,1.906793,79.684286,1.509334,4Trade
1126,ADBE,Buy,2.179192,11.345,1.068902,4Trade
1155,BABA,Buy,3.091728,-51.765639,0.656946,4Trade
1042,NKE,Buy,2.887429,-19.360377,1.025727,4Trade
1203,BAYN.DE,Buy,0.817197,-61.166667,0.139799,4Trade
1180,1810.HK,Buy,0.844437,106.025806,0.766409,4Trade
1137,NVDA,Buy,2.179192,1143.25,11.935092,4Trade
1141,BIDU,Buy,2.72399,-43.851,0.673782,4Trade
100003,XRP,Buy,8.638561,321.540446,16.032274,4Trade
2093,ULVR.L,Buy,1.634394,5.53,0.759809,4Trade
100000,BTC,Buy,13.619948,293.1376,23.588042,4Trade
1484,PYPL,Buy,2.315391,-41.009412,0.601699,4Trade
1400,NESN.ZU,Buy,1.363411,-33.938704,0.396152,4Trade
100001,ETH,Buy,9.533964,208.294,12.94823,4Trade
3000,SPY,Buy,5.447979,112.537,5.100842,4Trade
8047,ABNB,Buy,1.089596,-14.1575,0.41204,4Trade
6324,CRSP,Buy,0.463078,-47.094118,0.107927,4Trade
1477,MDT.US,Buy,1.361995,-8.822,0.547063,4Trade
1256,OR.PA,Buy,1.552674,4.880702,0.717377,4Trade
2339,0700.HK,Buy,1.661634,-11.365574,0.648798,4Trade
1253,MC.PA,Buy,1.361995,33.154,0.798917,4Trade
4350,NLY,Buy,0.953396,-37.545714,0.262306,4Trade
1967,SQ,Buy,0.817197,-28.43,0.25765,4Trade
6168,COIN,Buy,0.953396,42.411429,0.598123,4Trade
5968,TDOC,Buy,1.038603,-85.682438,0.065507,4Trade
5664,JMIA,Buy,0.49849,-45.213115,0.120311,4Trade
6904,CPNG,Buy,0.626518,-42.769565,0.157955,4Trade
4244,ASML,Buy,0.680997,15.188,0.345561,4Trade
7996,U,Buy,1.72069,-60.332763,0.300681,4Trade
9285,DNA,Buy,0.04086,-32.733333,0.012108,4Trade
100018,MIOTA,Buy,2.914669,-61.657944,0.492308,4Trade
100017,ADA,Buy,8.098693,-20.636709,2.831434,4Trade
1001,AAPL,Buy,2.069131,52.219403,2.959405,ALTIA-Investment
1003,META,Buy,2.77943,20.673333,3.151472,ALTIA-Investment
1004,MSFT,Buy,3.088256,9.817,3.186612,ALTIA-Investment
1005,AMZN,Buy,2.470604,25.1125,2.904359,ALTIA-Investment
1009,AXP,Buy,3.088256,2.61,2.977483,ALTIA-Investment
1017,GE,Buy,3.086897,-4.787106,2.761622,ALTIA-Investment
1020,IBM,Buy,3.088256,7.39,3.116187,ALTIA-Investment
1023,JPM,Buy,3.088688,8.313836,3.143434,ALTIA-Investment
1127,NFLX,Buy,3.088256,17.801,3.418288,ALTIA-Investment
1137,NVDA,Buy,1.914008,2.260516,1.83907,ALTIA-Investment
1202,SAP.DE,Buy,3.088256,7.235,3.111689,ALTIA-Investment
1296,PRY.MI,Buy,3.088256,-4.872,2.760375,ALTIA-Investment
1307,UCG.MI,Buy,3.088256,1.613,2.948553,ALTIA-Investment
1332,ITX.MC,Buy,1.544128,-10.73,1.295195,ALTIA-Investment
1341,GEV,None,0.0,0.0,1.838315,ALTIA-Investment
1365,ARM,Buy,3.087391,-2.050574,2.841449,ALTIA-Investment
1481,BKNG,Buy,3.086372,3.412081,2.998927,ALTIA-Investment
1484,PYPL,Buy,3.088225,3.01703,2.989264,ALTIA-Investment
1567,LLY,Buy,3.088101,-6.168308,2.722623,ALTIA-Investment
1598,BK,Buy,3.088256,-0.178,2.896583,ALTIA-Investment
1673,HLT,Buy,3.004656,3.493571,2.921828,ALTIA-Investment
1687,GLW,Buy,3.088163,-0.807024,2.878244,ALTIA-Investment
1832,AMD,Buy,3.088688,-15.233867,2.460044,ALTIA-Investment
1978,RMS.PA,Buy,3.088225,7.144071,3.10902,ALTIA-Investment
2556,MTX.DE,Buy,3.088256,-1.223,2.866259,ALTIA-Investment
4041,CYBR,Buy,3.086125,8.548899,3.147642,ALTIA-Investment
4108,MELI,Buy,1.544128,7.28,1.556497,ALTIA-Investment
4294,ANET,Buy,3.088194,-1.816036,2.848994,ALTIA-Investment
4399,TTD,Buy,3.088008,8.576686,3.150369,ALTIA-Investment
4508,ASM.NV,Buy,3.39705,-2.363658,3.116448,ALTIA-Investment
4509,ASML.NV,Buy,3.242668,0.17619,3.052203,ALTIA-Investment
5680,HUBB,Buy,3.082635,-3.583522,2.792671,ALTIA-Investment
6029,BJ,Buy,3.087978,12.2181,3.255993,ALTIA-Investment
6434,GOOGL,Buy,3.088194,16.402328,3.377634,ALTIA-Investment
9077,FICO,Buy,3.088256,-2.948,2.816204,ALTIA-Investment
1001,AAPL,Buy,0.495173,102.426343,0.992379,ANTONIOTAGLIERI
1002,GOOG,Buy,4.830294,25.148796,5.984859,ANTONIOTAGLIERI
1003,META,Buy,0.486162,239.011474,1.631732,ANTONIOTAGLIERI
1004,MSFT,Buy,0.481442,94.741533,0.928231,ANTONIOTAGLIERI
1005,AMZN,Buy,0.205106,176.359833,0.561187,ANTONIOTAGLIERI
1021,INTC,Buy,3.149968,-18.131045,2.553166,ANTONIOTAGLIERI
