Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
NVDA,NVIDIA Corporation,Long,24.06,-5.42,22.62,pierren2023
AZO,Autozone Inc,Long,17.29,4.7,17.99,pierren2023
LMT,Lockheed Martin Corporation,Long,14.37,-4.93,13.58,pierren2023
WMT,Walmart Inc.,Long,14.08,1.25,14.17,pierren2023
COST,Costco Wholesale Corp,Long,10.19,6.35,10.77,pierren2023
PG,Procter & Gamble Co,Long,6.36,-1.85,6.2,pierren2023
BTC,Bitcoin,Long,4.63,25.79,5.78,pierren2023
RSG,Republic Services Inc,Long,1.82,-3.42,1.74,pierren2023
