Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
IB01.L,iShares $ Treasury Bond 0-1yr UCITS ETF,Long,30.4,0.04,29.11,Howdymoney
BRK.B,Berkshire Hathaway Inc,Long,19.67,0.73,18.97,Howdymoney
VOO,Vanguard S&P 500 ETF,Long,15.38,12.16,16.51,Howdymoney
O,Realty Income Corp,Long,9.91,-2.93,9.21,Howdymoney
PEP,PepsiCo,Long,8.42,-3.41,7.78,Howdymoney
GOOGL,Alphabet Inc Class A,Long,8.32,23.1,9.81,Howdymoney
V,Visa,Long,5.98,19.52,6.84,Howdymoney
WM,Waste Management Inc,Long,1.89,-2.81,1.76,Howdymoney
