Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
TLT,iShares 20+ Year Treasury Bond ETF,Long,34.9,-2.11,32.73,bonacasino
SWDA.L,iShares Core MSCI World UCITS ETF,Long,15.18,18.34,17.21,bonacasino
GLD,SPDR Gold,Long,8.74,15.85,9.7,bonacasino
IAU,iShares Gold Trust,Long,8.62,4.83,8.65,bonacasino
MCD,McDonald's,Long,5.88,9.71,6.18,bonacasino
ABBV,AbbVie Inc,Long,1.72,5.4,1.74,bonacasino
SGGD.L,Surgutneftegas OAO-ADR,Long,0.09,-88.74,0.01,bonacasino
03333.HK,China Evergrande Group,Long,0.05,-90.73,0.01,bonacasino
