Ticker,Ticker_Long_Form,Direction,Exposure (%),P/L (%),Total Value (%),Username
NSDQ100,NASDAQ100 Index (Non Expiry),Short,82.99,-89.56,2.9,arturshapoval
SSSS,SuRo Capital Corp,Long,10.55,-50.5,1.07,arturshapoval
BIIB,Biogen Inc,Long,3.47,-35.61,2.6,arturshapoval
OGZDL.L,Gazprom OAO-ADR,Long,1.16,-76.82,0.31,arturshapoval
EVR.L,Evraz PLC,Long,0.58,-36.18,0.43,arturshapoval
SGGD.L,Surgutneftegas OAO-ADR,Long,0.58,-66.18,0.23,arturshapoval
MNODL.L,MMC Norilsk Nickel OJSC-ADR,Long,0.58,-95.52,0.03,arturshapoval
